degree_transformer	dwpc_scaler	dwpc_transformer	alpha	seed	auroc	auprc
identity	none	identity	0	1	0.987551861760451	0.95847312734784
log1p	none	identity	0	1	0.988265426954954	0.960501150925458
asinh	none	identity	0	1	0.988316301916578	0.960585494280393
identity	none	log1p	0	1	0.987626858471121	0.958502595954916
log1p	none	log1p	0	1	0.988313670453046	0.960460877951555
asinh	none	log1p	0	1	0.988367615455457	0.960566975580028
identity	mean	log1p	0	1	0.991124073505536	0.96777257431231
log1p	mean	log1p	0	1	0.992454278321119	0.971945207516918
asinh	mean	log1p	0	1	0.992536292267876	0.972122512975789
identity	sd	log1p	0	1	0.990547782991965	0.966212118631668
log1p	sd	log1p	0	1	0.991385465549748	0.968605633958609
asinh	sd	log1p	0	1	0.991481075391421	0.968795319555551
identity	none	asinh	0	1	0.987572474891454	0.958502459342276
log1p	none	asinh	0	1	0.988274198500062	0.960511081429448
asinh	none	asinh	0	1	0.988328582079729	0.960611483881234
identity	mean	asinh	0	1	0.990975395815963	0.967171559108115
log1p	mean	asinh	0	1	0.992292881891138	0.971311954376433
asinh	mean	asinh	0	1	0.992384983114769	0.97153027417521
identity	sd	asinh	0	1	0.989613174860744	0.963269320593914
log1p	sd	asinh	0	1	0.99103372659093	0.967519890775749
asinh	sd	asinh	0	1	0.991118810578474	0.967692513690599
identity	none	identity	1	1	0.981998157975512	0.949495487290697
log1p	none	identity	1	1	0.985640103504227	0.955825645756715
asinh	none	identity	1	1	0.984219551774029	0.952279915219726
identity	none	log1p	1	1	0.982029735537897	0.949321962595019
log1p	none	log1p	1	1	0.985757203631414	0.95584543371263
asinh	none	log1p	1	1	0.985513793254672	0.955255867140285
identity	mean	log1p	1	1	0.990761370115345	0.967911767787639
log1p	mean	log1p	1	1	0.994925661155213	0.979830036333779
asinh	mean	log1p	1	1	0.9956129117144	0.982266915295373
identity	sd	log1p	1	1	0.989080742072707	0.963842116568641
log1p	sd	log1p	1	1	0.994900223674402	0.979833424914051
asinh	sd	log1p	1	1	0.995113372220518	0.980576739062072
identity	none	asinh	1	1	0.982005175211598	0.949509905188544
log1p	none	asinh	1	1	0.985646243585802	0.955813368961108
asinh	none	asinh	1	1	0.984225253278349	0.952291448208653
identity	mean	asinh	1	1	0.990466646199725	0.967084812311076
log1p	mean	asinh	1	1	0.995159861409588	0.980794730258739
asinh	mean	asinh	1	1	0.995409850445157	0.981633832077541
identity	sd	asinh	1	1	0.988394368668035	0.962469388406137
log1p	sd	asinh	1	1	0.99456690496031	0.978780820205448
asinh	sd	asinh	1	1	0.994734880049122	0.979377739136616
identity	none	identity	0	2	0.987551861760451	0.95847312734784
log1p	none	identity	0	2	0.988879435112493	0.962327741187416
asinh	none	identity	0	2	0.988931187228627	0.962431348527923
identity	none	log1p	0	2	0.987626858471121	0.958502595954916
log1p	none	log1p	0	2	0.988925485724307	0.962282849175805
asinh	none	log1p	0	2	0.989007938248318	0.962469422495124
identity	mean	log1p	0	2	0.991124073505536	0.96777257431231
log1p	mean	log1p	0	2	0.992454278321119	0.971945207516918
asinh	mean	log1p	0	2	0.992536292267876	0.972122512975789
identity	sd	log1p	0	2	0.990547782991965	0.966212118631668
log1p	sd	log1p	0	2	0.991944651550364	0.970458608784374
asinh	sd	log1p	0	2	0.992048594359889	0.970723240455227
identity	none	asinh	0	2	0.987572474891454	0.958502459342276
log1p	none	asinh	0	2	0.988894785316431	0.962358206430913
asinh	none	asinh	0	2	0.988946098855309	0.962470964732281
identity	mean	asinh	0	2	0.990975395815963	0.967171559108115
log1p	mean	asinh	0	2	0.992292881891138	0.971311954376433
asinh	mean	asinh	0	2	0.992384983114769	0.97153027417521
identity	sd	asinh	0	2	0.990176746633911	0.965050333127497
log1p	sd	asinh	0	2	0.9915933511688	0.969364371676667
asinh	sd	asinh	0	2	0.991680189465366	0.969534474969477
identity	none	identity	1	2	0.981998157975512	0.949495487290697
log1p	none	identity	1	2	0.986704969080305	0.958587820152734
asinh	none	identity	1	2	0.985383535809824	0.955116189687876
identity	none	log1p	1	2	0.982029735537897	0.949321962595019
log1p	none	log1p	1	2	0.986863295469497	0.958734070346225
asinh	none	log1p	1	2	0.986536555414234	0.957858296015967
identity	mean	log1p	1	2	0.990761370115345	0.967911767787639
log1p	mean	log1p	1	2	0.994925661155213	0.979830036333779
asinh	mean	log1p	1	2	0.995141002587607	0.980580534620617
identity	sd	log1p	1	2	0.988425507653163	0.962080779478402
log1p	sd	log1p	1	2	0.994412525766415	0.978127110569151
asinh	sd	log1p	1	2	0.994613394149381	0.978792845591307
identity	none	asinh	1	2	0.982005175211598	0.949509905188544
log1p	none	asinh	1	2	0.986719003552477	0.958607397079983
asinh	none	asinh	1	2	0.985392745932187	0.95511732263725
identity	mean	asinh	1	2	0.990466646199725	0.967084812311076
log1p	mean	asinh	1	2	0.994689706591817	0.979171177380458
asinh	mean	asinh	1	2	0.995409850445157	0.981633832077541
identity	sd	asinh	1	2	0.98768036489627	0.960550974752517
log1p	sd	asinh	1	2	0.994019999122848	0.97699423087743
asinh	sd	asinh	1	2	0.994206833033641	0.977632098084601
identity	none	identity	0	3	0.986234814262532	0.954570554955195
log1p	none	identity	0	3	0.986916801894649	0.956514813034367
asinh	none	identity	0	3	0.986980395596678	0.956615112296102
identity	none	log1p	0	3	0.986290513573966	0.954559566807214
log1p	none	log1p	0	3	0.987648348756629	0.958505350662797
asinh	none	log1p	0	3	0.987721591158277	0.958628373354007
identity	mean	log1p	0	3	0.990564887504922	0.965924846142566
log1p	mean	log1p	0	3	0.991900793824824	0.970018430633717
asinh	mean	log1p	0	3	0.992006490943371	0.970297495851587
identity	sd	log1p	0	3	0.989965352396815	0.96434808397326
log1p	sd	log1p	0	3	0.991385465549748	0.968605633958609
asinh	sd	log1p	0	3	0.991481075391421	0.968795319555551
identity	none	asinh	0	3	0.986247533002938	0.954589155586014
log1p	none	asinh	0	3	0.986926450594267	0.956517905868215
asinh	none	asinh	0	3	0.986993991491595	0.956624419615571
identity	mean	asinh	0	3	0.990385070830218	0.965224368242617
log1p	mean	asinh	0	3	0.991743344590141	0.969429958569909
asinh	mean	asinh	0	3	0.991838077277304	0.969645652370842
identity	sd	asinh	0	3	0.989613174860744	0.963269320593914
log1p	sd	asinh	0	3	0.99103372659093	0.967519890775749
asinh	sd	asinh	0	3	0.991118810578474	0.967692513690599
identity	none	identity	1	3	0.981998157975512	0.949495487290697
log1p	none	identity	1	3	0.984437086092705	0.95284482836203
asinh	none	identity	1	3	0.984219551774029	0.952279915219726
identity	none	log1p	1	3	0.982029735537897	0.949321962595019
log1p	none	log1p	1	3	0.984577869391684	0.952951490750059
asinh	none	log1p	1	3	0.984344107714561	0.952322149772919
identity	mean	log1p	1	3	0.99008990833735	0.96592642685584
log1p	mean	log1p	1	3	0.994925661155213	0.979830036333779
asinh	mean	log1p	1	3	0.995141002587607	0.980580534620617
identity	sd	log1p	1	3	0.987665453269588	0.959944361108498
log1p	sd	log1p	1	3	0.994412525766415	0.978127110569151
asinh	sd	log1p	1	3	0.994613394149381	0.978792845591307
identity	none	asinh	1	3	0.982005175211598	0.949509905188544
log1p	none	asinh	1	3	0.984441471865259	0.952829381638007
asinh	none	asinh	1	3	0.984225253278349	0.952291448208653
identity	mean	asinh	1	3	0.990466646199725	0.967084812311076
log1p	mean	asinh	1	3	0.994689706591817	0.979171177380458
asinh	mean	asinh	1	3	0.994962940221921	0.980084983570484
identity	sd	asinh	1	3	0.986881277136961	0.958426942692214
log1p	sd	asinh	1	3	0.993445462918295	0.975066886563057
asinh	sd	asinh	1	3	0.993667821586775	0.975785168452781
identity	none	identity	0	4	0.985524757686067	0.952503115414073
log1p	none	identity	0	4	0.986916801894649	0.956514813034367
asinh	none	identity	0	4	0.986980395596678	0.956615112296102
identity	none	log1p	0	4	0.985582211306522	0.952469886545579
log1p	none	log1p	0	4	0.986975571246869	0.956466386449851
asinh	none	log1p	0	4	0.987050129380283	0.956622411817319
identity	mean	log1p	0	4	0.990564887504922	0.965924846142566
log1p	mean	log1p	0	4	0.991900793824824	0.970018430633717
asinh	mean	log1p	0	4	0.992006490943371	0.970297495851587
identity	sd	log1p	0	4	0.989403096355414	0.962530531651911
log1p	sd	log1p	0	4	0.990817946581281	0.966757638614364
asinh	sd	log1p	0	4	0.990925398008849	0.966987565110019
identity	none	asinh	0	4	0.985538353580984	0.952521402394985
log1p	none	asinh	0	4	0.986926450594267	0.956517905868215
asinh	none	asinh	0	4	0.986993991491595	0.956624419615571
identity	mean	asinh	0	4	0.990385070830218	0.965224368242617
log1p	mean	asinh	0	4	0.991743344590141	0.969429958569909
asinh	mean	asinh	0	4	0.991838077277304	0.969645652370842
identity	sd	asinh	0	4	0.989017586947934	0.96134501646247
log1p	sd	asinh	0	4	0.990478049208358	0.965729739153137
asinh	sd	asinh	0	4	0.990569273277477	0.96589459748243
identity	none	identity	1	4	0.980802157800087	0.946695625893247
log1p	none	identity	1	4	0.984437086092705	0.95284482836203
asinh	none	identity	1	4	0.983002499890339	0.949310208739813
identity	none	log1p	1	4	0.980808736458916	0.946423494848018
log1p	none	log1p	1	4	0.984577869391684	0.952951490750059
asinh	none	log1p	1	4	0.983129248717146	0.949393525702908
identity	mean	log1p	1	4	0.99008990833735	0.96592642685584
log1p	mean	log1p	1	4	0.994925661155213	0.979830036333779
asinh	mean	log1p	1	4	0.995141002587607	0.980580534620617
identity	sd	log1p	1	4	0.987665453269588	0.959944361108498
log1p	sd	log1p	1	4	0.994412525766415	0.978127110569151
asinh	sd	log1p	1	4	0.994613394149381	0.978792845591307
identity	none	asinh	1	4	0.980803473531852	0.946677094221295
log1p	none	asinh	1	4	0.984441471865259	0.952829381638007
asinh	none	asinh	1	4	0.98301478005349	0.949345542648777
identity	mean	asinh	1	4	0.990466646199725	0.967084812311076
log1p	mean	asinh	1	4	0.994689706591817	0.979171177380458
asinh	mean	asinh	1	4	0.994962940221921	0.980084983570484
identity	sd	asinh	1	4	0.986881277136961	0.958426942692214
log1p	sd	asinh	1	4	0.993445462918295	0.975066886563057
asinh	sd	asinh	1	4	0.993667821586775	0.975785168452781
identity	none	identity	0	5	0.984836191395113	0.950543272129897
log1p	none	identity	0	5	0.986188763650709	0.95442349395919
asinh	none	identity	0	5	0.986278233410807	0.954560351161596
identity	none	log1p	0	5	0.984898907942634	0.950522635020662
log1p	none	log1p	0	5	0.986273409060998	0.954454616910169
asinh	none	log1p	0	5	0.986347090039901	0.954580424106283
identity	mean	log1p	0	5	0.989393447655795	0.962129219949801
log1p	mean	log1p	0	5	0.990791193368701	0.966342530065193
asinh	mean	log1p	0	5	0.991437656243138	0.968325140148687
identity	sd	log1p	0	5	0.988807069865349	0.96064021752808
log1p	sd	log1p	0	5	0.990240778913194	0.964916913147791
asinh	sd	log1p	0	5	0.990347353186252	0.965149033907829
identity	none	asinh	0	5	0.984850664444541	0.950561148673279
log1p	none	asinh	0	5	0.986196219464051	0.95440768318103
asinh	none	asinh	0	5	0.986284373492382	0.954552362245082
identity	mean	asinh	0	5	0.989227226876009	0.961446803356711
log1p	mean	asinh	0	5	0.990618832507335	0.965682353614081
asinh	mean	asinh	0	5	0.991268365422559	0.967742885193689
identity	sd	asinh	0	5	0.988428577693955	0.959492886513299
log1p	sd	asinh	0	5	0.989867111091608	0.963780547518435
asinh	sd	asinh	0	5	0.989959650892494	0.963946010375688
identity	none	identity	1	5	0.979435112495061	0.943465537283532
log1p	none	identity	1	5	0.984437086092705	0.95284482836203
asinh	none	identity	1	5	0.983002499890339	0.949310208739813
identity	none	log1p	1	5	0.979453971317041	0.943252641004121
log1p	none	log1p	1	5	0.984577869391684	0.952951490750059
asinh	none	log1p	1	5	0.984344107714561	0.952322149772919
identity	mean	log1p	1	5	0.989384237533433	0.963949501233596
log1p	mean	log1p	1	5	0.993960352616116	0.97641508649848
asinh	mean	log1p	1	5	0.994666461997283	0.978903000802757
identity	sd	log1p	1	5	0.986864611201259	0.957827629297105
log1p	sd	log1p	1	5	0.993880531555635	0.976324196222096
asinh	sd	log1p	1	5	0.994109907460201	0.97708288962337
identity	none	asinh	1	5	0.979434673917805	0.94346037975229
log1p	none	asinh	1	5	0.984441471865259	0.952829381638007
asinh	none	asinh	1	5	0.98301478005349	0.949345542648777
identity	mean	asinh	1	5	0.989096092276648	0.96324690446445
log1p	mean	asinh	1	5	0.994184904170871	0.977432123847526
asinh	mean	asinh	1	5	0.994476558045701	0.978391218546762
identity	sd	asinh	1	5	0.986034823034074	0.956182972748926
log1p	sd	asinh	1	5	0.993445462918295	0.975066886563057
asinh	sd	asinh	1	5	0.993667821586775	0.975785168452781
