metapath	feature
CbG<rG<rGaD	dwpc_CbG<rG<rGaD
CbG<rGaD	dwpc_CbG<rGaD
CbG<rGaDrD	dwpc_CbG<rGaDrD
CbG<rGcGaD	dwpc_CbG<rGcGaD
CbG<rGeAlD	dwpc_CbG<rGeAlD
CbG<rGiGaD	dwpc_CbG<rGiGaD
CbG<rGr>GaD	dwpc_CbG<rGr>GaD
CbGaD	dwpc_CbGaD
CbGaDaGaD	dwpc_CbGaDaGaD
CbGaDlAlD	dwpc_CbGaDlAlD
CbGaDpSpD	dwpc_CbGaDpSpD
CbGaDrD	dwpc_CbGaDrD
CbGaDrDrD	dwpc_CbGaDrDrD
CbGaDtCtD	dwpc_CbGaDtCtD
CbGbCbGaD	dwpc_CbGbCbGaD
CbGbCdGaD	dwpc_CbGbCdGaD
CbGbCrCtD	dwpc_CbGbCrCtD
CbGbCtD	dwpc_CbGbCtD
CbGbCtDrD	dwpc_CbGbCtDrD
CbGbCuGaD	dwpc_CbGbCuGaD
CbGdAdGaD	dwpc_CbGdAdGaD
CbGdCdGaD	dwpc_CbGdCdGaD
CbGdCrCtD	dwpc_CbGdCrCtD
CbGdCtDrD	dwpc_CbGdCtDrD
CbGdCuGaD	dwpc_CbGdCuGaD
CbGdDdGaD	dwpc_CbGdDdGaD
CbGdDuGaD	dwpc_CbGdDuGaD
CbGeAeGaD	dwpc_CbGeAeGaD
CbGeAlD	dwpc_CbGeAlD
CbGeAlDrD	dwpc_CbGeAlDrD
CbGeAuGaD	dwpc_CbGeAuGaD
CbGiGaD	dwpc_CbGiGaD
CbGiGaDrD	dwpc_CbGiGaDrD
CbGiGbCtD	dwpc_CbGiGbCtD
CbGiGiGaD	dwpc_CbGiGiGaD
CbGiGuAlD	dwpc_CbGiGuAlD
CbGpBPpGaD	dwpc_CbGpBPpGaD
CbGpMFpGaD	dwpc_CbGpMFpGaD
CbGpPWpGaD	dwpc_CbGpPWpGaD
CbGr>G<rGaD	dwpc_CbGr>G<rGaD
CbGr>G<rGdD	dwpc_CbGr>G<rGdD
CbGr>GaD	dwpc_CbGr>GaD
CbGr>GaDrD	dwpc_CbGr>GaDrD
CbGr>GeAlD	dwpc_CbGr>GeAlD
CbGr>GiGaD	dwpc_CbGr>GiGaD
CbGr>Gr>GaD	dwpc_CbGr>Gr>GaD
CbGuAeGaD	dwpc_CbGuAeGaD
CbGuAlD	dwpc_CbGuAlD
CbGuAlDrD	dwpc_CbGuAlDrD
CbGuAuGaD	dwpc_CbGuAuGaD
CbGuCdGaD	dwpc_CbGuCdGaD
CbGuCtDrD	dwpc_CbGuCtDrD
CbGuCuGaD	dwpc_CbGuCuGaD
CbGuDaGaD	dwpc_CbGuDaGaD
CbGuDpSpD	dwpc_CbGuDpSpD
CbGuDrDrD	dwpc_CbGuDrDrD
CbGuDuGaD	dwpc_CbGuDuGaD
CcSEcCbGaD	dwpc_CcSEcCbGaD
CcSEcCrCtD	dwpc_CcSEcCrCtD
CcSEcCtD	dwpc_CcSEcCtD
CcSEcCtDrD	dwpc_CcSEcCtDrD
CcSEcCuGaD	dwpc_CcSEcCuGaD
CdGaDdGaD	dwpc_CdGaDdGaD
CdGaDuGaD	dwpc_CdGaDuGaD
CdGbCdGaD	dwpc_CdGbCdGaD
CdGbCrCtD	dwpc_CdGbCrCtD
CdGbCtD	dwpc_CdGbCtD
CdGcG<rGaD	dwpc_CdGcG<rGaD
CdGcGiGaD	dwpc_CdGcGiGaD
CdGdCrCtD	dwpc_CdGdCrCtD
CdGdCtD	dwpc_CdGdCtD
CdGdCtDrD	dwpc_CdGdCtDrD
CdGdCuGaD	dwpc_CdGdCuGaD
CdGiG<rGaD	dwpc_CdGiG<rGaD
CdGiGaD	dwpc_CdGiGaD
CdGiGiGaD	dwpc_CdGiGiGaD
CdGuDaGaD	dwpc_CdGuDaGaD
CdGuDpSpD	dwpc_CdGuDpSpD
CiPCiCbGaD	dwpc_CiPCiCbGaD
CiPCiCdGaD	dwpc_CiPCiCdGaD
CiPCiCdGuD	dwpc_CiPCiCdGuD
CiPCiCrCtD	dwpc_CiPCiCrCtD
CiPCiCtD	dwpc_CiPCiCtD
CiPCiCuGaD	dwpc_CiPCiCuGaD
CpDpCrCtD	dwpc_CpDpCrCtD
CpDpCtD	dwpc_CpDpCtD
CpDpCtDrD	dwpc_CpDpCtDrD
CpDrDlAlD	dwpc_CpDrDlAlD
CpDrDpSpD	dwpc_CpDrDpSpD
CrCbGaD	dwpc_CrCbGaD
CrCbGaDrD	dwpc_CrCbGaDrD
CrCbGbCtD	dwpc_CrCbGbCtD
CrCbGeAlD	dwpc_CrCbGeAlD
CrCbGiGaD	dwpc_CrCbGiGaD
CrCbGuAlD	dwpc_CrCbGuAlD
CrCcSEcCtD	dwpc_CrCcSEcCtD
CrCdGaD	dwpc_CrCdGaD
CrCdGaDrD	dwpc_CrCdGaDrD
CrCdGbCtD	dwpc_CrCdGbCtD
CrCdGcGaD	dwpc_CrCdGcGaD
CrCdGdCtD	dwpc_CrCdGdCtD
CrCdGeAlD	dwpc_CrCdGeAlD
CrCdGiGaD	dwpc_CrCdGiGaD
CrCiPCiCtD	dwpc_CrCiPCiCtD
CrCrCbGaD	dwpc_CrCrCbGaD
CrCrCdGaD	dwpc_CrCrCdGaD
CrCrCrCtD	dwpc_CrCrCrCtD
CrCrCtD	dwpc_CrCrCtD
CrCrCtDrD	dwpc_CrCrCtDrD
CrCtD	dwpc_CrCtD
CrCtDaGaD	dwpc_CrCtDaGaD
CrCtDdGaD	dwpc_CrCtDdGaD
CrCtDdGdD	dwpc_CrCtDdGdD
CrCtDlAlD	dwpc_CrCtDlAlD
CrCtDpSpD	dwpc_CrCtDpSpD
CrCtDrD	dwpc_CrCtDrD
CrCtDrDrD	dwpc_CrCtDrDrD
CrCtDtCtD	dwpc_CrCtDtCtD
CrCtDuGaD	dwpc_CrCtDuGaD
CrCuG<rGaD	dwpc_CrCuG<rGaD
CrCuGaD	dwpc_CrCuGaD
CrCuGaDrD	dwpc_CrCuGaDrD
CrCuGcGaD	dwpc_CrCuGcGaD
CrCuGiGaD	dwpc_CrCuGiGaD
CrCuGuCtD	dwpc_CrCuGuCtD
CtDrD	dwpc_CtDrD
CtDrDtCtD	dwpc_CtDrDtCtD
CtDtCrCtD	dwpc_CtDtCrCtD
CtDtCtD	dwpc_CtDtCtD
CuG<rG<rGaD	dwpc_CuG<rG<rGaD
CuG<rGaD	dwpc_CuG<rGaD
CuG<rGiGaD	dwpc_CuG<rGiGaD
CuGaDuGaD	dwpc_CuGaDuGaD
CuGcG<rGaD	dwpc_CuGcG<rGaD
CuGcGiGaD	dwpc_CuGcGiGaD
CuGdDpSpD	dwpc_CuGdDpSpD
CuGr>GbCtD	dwpc_CuGr>GbCtD
CuGuCrCtD	dwpc_CuGuCrCtD
CuGuCtD	dwpc_CuGuCtD
CuGuCtDrD	dwpc_CuGuCtDrD
CuGuCuGaD	dwpc_CuGuCuGaD
CuGuDuGaD	dwpc_CuGuDuGaD
